nama barang,kategori,harga,date,user,varian,rating,review,bantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,n***,Hitam Ungu - 40,bintang 5,"Sangat keran sepatunya 🤩, bisa buat jalan² atau jogging 👍🏽",1 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,S***z,Hitam Ungu - 42,bintang 4,Mantapp keren sekali sesuai pesanan,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,9 bulan lalu,ð****,Hitam Ungu - 42,bintang 5,"Paket sudah mendarat dengan baik. Produk bagus berkwalitas, makasih seller, anakku suka 🥰",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,F***s,Hitam Ungu - 40,bintang 5,Tiba dalam keadaan baik. Terimakasih sudah mau direpotkan pas lebaran. Hehe.,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,B***K,Hitam Ungu - 41,bintang 4,Dengan harga segitu kualitas seimbang dengan produknya saran untuk kaki 25 cm pesannya naikin 1 cm kalau ngikut ukuran biasa sepatunya agak ngepress. Untuk pemula atau la... ,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,H***n,Hitam Ungu - 42,bintang 5,Bentuk dan ukuran: bentuk bagus dan ukuran pas Aroma: Bau cat nya kenceng bgt Daya tahan pakai: Belom tau baru sampai Warna: aman dan bagus,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,M***8,Hitam Ungu - 43,bintang 4,Untuk sepatu mid range bagus empuk tinggi insoll nya tipis lubang talinya nggak kokoh sesuai sama harganya  Untuk harga segitu lumayan bagus,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,Lebih dari 1 tahun lalu,k****,Hitam Ungu - 41,bintang 4,Ya not bad la walau pun pas di pake soal nya kayak ngelupas tapi dengan harga segitu oke oke aja,0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,3 bulan lalu,M***h,Hitam Ungu - 39,bintang 4,"Dari segi desain menarik, dari Quality control pengecekan kurang karena banyak bngt belepotan sisa² lem yg merekat",0 orang terbantu
"Nuevo Crosspeed Hitam/Purpls Sepatu Trail Running Beginner Sneakers Olahraga Lari Pria Outdoor - Navy Ijo, 39",Lari,Rp153.600,2 bulan lalu,D***i,Hitam Ungu - 41,bintang 5,"Produk pesanan sudah sampai dengan selamat, maaf baru kasih ulasan. Tapi sayang pesanan agak rijek dibagian outsol lem terkelupas sedikit selebihnya bagus sesuai dengan h... ",0 orang terbantu
